馃挜锝滄柊闂�,#genre#
CCTV1,http://ktwlplkf.f3322.org:9901/tsfile/live/0001_1.m3u8
CCTV1,http://39.135.55.72:6610/PLTV/88888888/224/3221226995/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV1,http://39.136.48.8:8089/PLTV/88888888/224/3221225859/index.m3u8
CCTV1,http://ncyd.jilu8.cn/PLTV/88888910/224/3221225762/index.m3u8
CCTV1,http://111.63.117.13:6060/030000001000/CCTV-1-HD/CCTV-1-HD.m3u8
CCTV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV1,http://39.135.137.205/PLTV/88888888/224/3221225816/1.m3u8
CCTV1,http://39.134.65.175/PLTV/88888888/224/3221225816/1.m3u8
CCTV1,http://39.134.32.103:6610/270000001111/1110000146/index.m3u8?IASHttpSessionId=OTT
CCTV1,http://ncyd.jilu8.cn/PLTV/88888910/224/3221225618/index.m3u8
CCTV1,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://39.136.48.18:8089/PLTV/88888888/224/3221225859/index.m3u8
CCTV1,http://183.207.249.9/PLTV/3/224/3221225530/index.m3u8
CCTV1,http://222.240.82.92:9901/tsfile/live/0001_1.m3u8
CCTV1,http://39.135.32.10:6610/000000001000/HD-4000k-1080P-cctv1/1.m3u8?IASHttpSessionId=OTT
CCTV1,http://39.136.48.5:8089/PLTV/88888888/224/3221225859/index.m3u8
CCTV1,http://39.134.116.30:8080/PLTV/88888910/224/3221225762/index.m3u8
CCTV1,http://39.136.48.2:8089/PLTV/88888888/224/3221225859/index.m3u8
CCTV1,http://120.221.40.68:6410/shandong_cabletv.live.zte.com////CHANNEL00000311/index.m3u8?IASHttpSessionId=OTT
CCTV1,http://39.134.32.101:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT
CCTV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225762/index.m3u8
CCTV1,http://39.134.65.142/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8
CCTV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8
CCTV1,http://39.134.32.102:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT
CCTV1,http://39.135.138.58:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV1,http://39.134.67.99/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV1,http://39.134.32.101:6610/270000001111/1110000023/index.m3u8?IASHttpSessionId=OTT
CCTV1,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV1,http://39.134.32.108:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT
CCTV1,http://39.134.65.141/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://117.169.120.244:8080/wh7f454c46tw2520989601_203106496/hwrr.jx.chinamobile.com/PLTV/88888910/224/3221225618/index.m3u8?icpid=88888910&RTS=1648965019&from=79102&ocs=2_117.169.120.241_8080&hms_devid=1402&online=1648965019&vqe=3
CCTV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV1,http://183.207.249.16/ott.js.chinamobile.com/PLTV/3/224/3221225530/index.m3u8
CCTV13,http://39.135.55.72:6610/PLTV/88888888/224/3221226985/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV13,http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8?
CCTV13,http://39.135.32.10:6610/000000001000/HD-8000k-1080P-cctv13/1.m3u8?IASHttpSessionId=OTT
